name,union,gruene,spd,linke,afd,fdp,bsw
Pforzheim,30.48,10.52,13.17,5.38,25.36,6.21,4.42
Calw,33.83,8.82,12.2,4.7,25.56,5.94,4.01
Freiburg,22.2,26.61,15.33,13.91,10.39,4.24,3.51
Lörrach – Müllheim,29.24,15.23,15.95,6.77,18.18,4.9,4.47
Emmendingen – Lahr,32.22,13.23,15.52,5.9,19.47,4.69,4.03
Offenburg,33.57,11.1,13.31,5.69,21.8,5.26,4.51
Rottweil – Tuttlingen,34.36,7.76,10.8,4.7,27.08,6.08,4.52
Schwarzwald-Baar,34.05,9.9,12.91,5.06,23.77,5.28,4.46
Konstanz,30.1,16.84,13.3,7.45,18.32,5.79,4.08
Waldshut,33.66,13.67,14.34,5.67,19.08,4.99,3.97
Reutlingen,32.58,12.22,13.13,6.06,21.01,6.44,4.58
Tübingen,28.5,19.21,13.93,9.6,16.14,5,3.98
Ulm,33.9,13.57,13.47,6.46,19.27,5.15,3.9
Biberach,38.28,9.78,10.4,4.52,23.18,5.08,3.82
Bodensee,35.04,13.55,13.01,5.54,18.9,5.74,4.05
Ravensburg,35.02,13.25,11.73,6.48,19.02,5.42,4.15
Zollernalb – Sigmaringen,36.54,7.54,11.05,4.91,26.22,5.46,4.19
Saarbrücken,22.88,9.91,22.05,9.88,20.06,4.38,6.33
Saarlouis,28.25,6.24,21.26,6.77,21.71,4.45,6.77
St. Wendel,30.31,6.17,22.2,6.06,20.74,4.06,5.73
Homburg,26.05,6.58,22.05,6.69,23.73,4.24,5.77
